,Amount,Cycle,Name,Party,RealCode,Type
4120,0.0,1996,, ,M,24P
4119,0.0,1996,, ,M,24K
4118,0.0,1996,, ,M,24H
4117,0.0,1996,, ,M,24N
4116,0.0,1996,, ,M,24C
4115,0.0,1996,, ,M,24A
4114,0.0,1996,, ,M,24F
4121,0.0,1996,, ,M,24R
4129,0.0,1996,,D,M,24K
970,0.0,2000,, ,z,24P
969,0.0,2000,, ,z,24K
968,0.0,2000,, ,z,24H
2390,32000.0,2000,Friends of Scott McInnis,R,Z,24K
2387,171500.0,2000,Friends of Rosa DeLauro,D,Z,24K
2388,4000.0,2000,Friends of Roy Blunt,R,Z,24K
2389,58000.0,2000,Friends of Sam Johnson,R,Z,24K
967,0.0,2000,, ,z,24N
966,0.0,2000,, ,z,24C
2426,31986.0,2000,Glacier PAC,D,J,24K
964,0.0,2000,, ,z,24F
2163,33250.0,2000,Crowley for Congress,D,Z,24K
2164,4173.0,2000,Cubin for Congress,R,Z,24K
2165,3000.0,2000,Culberson for Congress,R,Z,24K
2166,572.0,2000,Culberson for Congress,R,Z,24Z
2167,23600.0,2000,Cummings for Congress Campaign Cmte,D,Z,24K
2168,780.0,2000,"Curran, Brian P", ,Y,24E
2169,4000.0,2000,Cynthia McKinney for Congress,D,Z,24K
2170,427683.0,2000,DASHPAC,D,J,24K
2171,2417.0,2000,DASHPAC,D,J,24Z
2172,10050.0,2000,DC Friends of Bill Clay,D,Z,24K
2173,13548520.0,2000,DNC Services Corp,D,Z,24C
2174,9198.0,2000,DNC Services Corp,D,Z,24K
2162,3000.0,2000,Crenshaw for Congress,R,Z,24K
2175,1017.0,2000,DNC Services Corp,D,Z,24Z
2177,21760.0,2000,Dan Coats for Indiana,R,Z,24K
2178,1000.0,2000,Dan Kripke for Congress,D,Z,24K
2179,1000.0,2000,Dan Williams for Congress,D,Z,24K
2180,2000.0,2000,Danner for Congress,D,Z,24K
2181,10500.0,2000,Darlene Hooley for Congress,D,Z,24K
2182,9000.0,2000,Dave Camp for Congress 2000,R,Z,24K
2183,18000.0,2000,Dave Wu for Congress,D,Z,24K
2184,2000.0,2000,David H Dunaway for Congress Cmte,D,Z,24K
2185,10500.0,2000,David Price for Congress,D,Z,24K
2186,3000.0,2000,David Pryor for US Senate,D,Z,24K
2187,3820.0,2000,DeFazio for Congress,D,Z,24K
2188,12000.0,2000,DeWine for US Senate,R,Z,24K
2176,24500.0,2000,Dan Burton for Congress Cmte,R,Z,24K
2189,170000.0,2000,Defend America PAC,R,J,24K
2161,56000.0,2000,Crane for Congress Cmte,R,Z,24K
2159,4000.0,2000,Coyne for Congress,D,Z,24K
2133,1000.0,2000,Committee to Re-Elect Nydia M Velazquez,D,Z,24Z
2134,2000.0,2000,Committee to Re-Elect Vito Fossella,R,Z,24K
2135,1000.0,2000,Committee to Re-elect Esteban E Torres,D,Z,24K
2136,1750.0,2000,Committee to Re-elect Harry Johnston,D,Z,24K
2137,38000.0,2000,Common Sense Common Solutions,R,J,24K
2138,70000.0,2000,Common Sense Leadership Fund,R,J,24K
2139,12000.0,2000,Condit for Congress,D,Z,24K
2140,29000.0,2000,Congressional Leadership Fund,R,J,24K
2141,185000.0,2000,Congressional Majority Cmte,R,J,24K
2142,13000.0,2000,Congressman Bart Gordon Cmte,D,Z,24K
2143,5500.0,2000,Congressman Joe Barton Cmte,R,Z,24K
2144,54000.0,2000,Congressman Waxman Campaign Cmte,D,Z,24K
2160,1000.0,2000,Cramer for Congress,R,Z,24K
2145,1897.0,2000,Connecticut Republican Campaign Cmte,R,Z,24C
2147,22500.0,2000,Connecticut Republican Campaign Cmte,R,Z,24K
2148,96889.0,2000,Conservative Party of New York State,3,Z,24C
2149,2500.0,2000,Conservative Party of New York State,3,Z,24K
2150,103102.0,2000,Conservative Victory Fund,R,J,24K
2151,97989.0,2000,Conservative Victory Fund,R,J,24Z
2152,65258.0,2000,Constitution Party National Cmte,3,Z,24C
2153,11500.0,2000,Continue the Majority,R,J,24K
2154,62500.0,2000,Continuing a Majority Party Action Cmte,R,J,24K
2155,19000.0,2000,Cooksey for Congress Cmte,R,Z,24K
2156,4500.0,2000,Corry for Congress,R,Z,24K
2157,12000.0,2000,Corzine 2000 Inc,D,Z,24K
2158,9000.0,2000,Costello for Congress Cmte,D,Z,24K
2146,1431.0,2000,Connecticut Republican Campaign Cmte,R,Z,24E
2190,19000.0,2000,Delahunt for Congress Cmte,D,Z,24K
2191,14000.0,2000,Demint for Congress Cmte,R,Z,24K
2192,197643.0,2000,Democratic Central Cmte of Washington,D,Z,24C
2224,9345.0,2000,Democratic Party of North Carolina,D,Z,24E
2225,2000.0,2000,Democratic Party of North Carolina,D,Z,24K
2226,36205.0,2000,Democratic Party of Ohio,D,Z,24C
2227,500.0,2000,Democratic Party of Ohio,D,Z,24F
2228,41600.0,2000,Democratic Party of Ohio,D,Z,24K
2229,4890.0,2000,Democratic Party of Ohio,D,Z,24Z
2230,15500.0,2000,Democratic Party of Oklahoma,D,Z,24K
2231,7000.0,2000,Democratic Party of Oregon,D,Z,24K
2232,5000.0,2000,Democratic Party of Ottawa County,D,Z,24K
2233,41648.0,2000,Democratic Party of Pennsylvania,D,Z,24C
971,0.0,2000,, ,z,24R
1374,0.0,2000,, ,E,24E
2223,48966.0,2000,Democratic Party of North Carolina,D,Z,24C
2443,5836.0,2000,Green Party of Nebraska,3,Z,24E
2441,18688.0,2000,Green Party of California,3,Z,24E
2440,36250.0,2000,Great Plains Leadership Fund,D,J,24K
2439,3260.0,2000,Great Northwest Classic Cmte,R,Z,24K
2234,1562.0,2000,Democratic Party of San Fernando Valley,D,Z,24K
2235,12000.0,2000,Democratic Party of South Carolina,D,Z,24C
2236,11238.0,2000,Democratic Party of South Carolina,D,Z,24K
2237,5000.0,2000,Democratic Party of South Dakota,D,Z,24K
2238,43330.0,2000,Democratic Party of Texas,D,Z,24C
2239,22000.0,2000,Democratic Party of Texas,D,Z,24K
2240,3777.0,2000,Democratic Party of Texas,D,Z,24Z
2241,1250.0,2000,Democratic Party of Virginia,D,Z,24K
963,0.0,2000,, ,z,24E
2442,8829.0,2000,Green Party of Maine,3,Z,24C
2222,10000.0,2000,Democratic Party of New Mexico,D,Z,24K
2221,5000.0,2000,Democratic Party of Nevada,D,Z,24K
2220,7500.0,2000,Democratic Party of Mississippi,D,Z,24K
2193,53880.0,2000,Democratic Central Cmte of Washington,D,Z,24K
2194,1655.0,2000,Democratic Central Cmte of Washington,D,Z,24Z
2195,1822730.0,2000,Democratic Cmte of New York State,D,Z,24C
2196,22750.0,2000,Democratic Cmte of New York State,D,Z,24K
2197,54122.0,2000,Democratic Cmte of Utah,D,Z,24C
2198,11270.0,2000,Democratic Cmte of Utah,D,Z,24K
2199,1920.0,2000,Democratic Cmte of Utah,D,Z,24Z
2200,782201.0,2000,Democratic Congressional Campaign Cmte,D,Z,24A
2201,2594114.0,2000,Democratic Congressional Campaign Cmte,D,Z,24C
2202,1151045.0,2000,Democratic Congressional Campaign Cmte,D,Z,24E
2203,302172.0,2000,Democratic Congressional Campaign Cmte,D,Z,24K
2204,272593.0,2000,Democratic Congressional Campaign Cmte,D,Z,24Z
2205,63756.0,2000,Democratic Executive Cmte of Florida,D,Z,24C
2206,2000.0,2000,Democratic Executive Cmte of Florida,D,Z,24K
2207,30000.0,2000,Democratic Leader's Victory Fund 2000,D,Z,24K
2208,1000.0,2000,Democratic Party Cmte Abroad,D,Z,24K
2209,2500.0,2000,Democratic Party of Allegheny County,D,Z,24K
2210,220.0,2000,Democratic Party of Alpena County,D,Z,24K
2211,4000.0,2000,Democratic Party of Arkansas,D,Z,24K
2212,50000.0,2000,Democratic Party of Delaware,D,Z,24C
2213,5000.0,2000,Democratic Party of Delaware,D,Z,24K
2214,672.0,2000,Democratic Party of Delaware,D,Z,24Z
2215,19000.0,2000,Democratic Party of Franklin County,D,Z,24C
2216,13800.0,2000,Democratic Party of Hawaii,D,Z,24Z
2217,500.0,2000,Democratic Party of Hillsdale County,D,Z,24K
2218,65438.0,2000,Democratic Party of Iowa,D,Z,24C
2219,564.0,2000,Democratic Party of Iowa,D,Z,24Z
965,0.0,2000,, ,z,24A
972,0.0,2000,, ,z,24Z
987,0.0,2000,,I,z,24N
974,0.0,2000,,D,z,24F
2305,5700.0,2000,First Congressional District Democratic Cmte,D,Z,24K
2306,3000.0,2000,Fletcher for Congress,R,Z,24K
2307,5000.0,2000,"Foster, Stanley", ,Y,24E
2308,1400.0,2000,Fourth District Breakfast Club,D,Z,24K
2309,500.0,2000,Francis Thompson for Congress,D,Z,24K
2310,326000.0,2000,Franks for Congress,R,Z,24K
2311,10.0,2000,Freedom PAC, ,Y,24K
2312,541775.0,2000,Freedom Project,R,J,24K
2313,657.0,2000,Freedom Project,R,J,24Z
2314,23000.0,2000,Frelinghuysen for Congress,R,Z,24K
2315,3000.0,2000,Friends for Bryan '94,D,Z,24K
2316,3500.0,2000,Friends for Cliff Stearns,R,Z,24K
2317,6253.0,2000,Friends for Frank Wolf,R,Z,24K
2318,4000.0,2000,Friends for Jim McDermott,D,Z,24K
2304,131000.0,2000,Fight-PAC,R,J,24K
2319,25000.0,2000,Friends of Barbara Boxer,D,Z,24K
2321,17000.0,2000,Friends of Baron Hill,D,Z,24K
2322,5000.0,2000,Friends of Bennie Thompson,D,Z,24K
2323,500.0,2000,Friends of Bill Redmond,R,Z,24K
2324,8500.0,2000,Friends of Bill Zeliff '96,R,Z,24K
2325,1500.0,2000,Friends of Blanche Lincoln,D,Z,24K
2326,5000.0,2000,Friends of Bob Graham Cmte,D,Z,24K
2327,76832.0,2000,Friends of Bob Livingston PAC,R,J,24K
2328,1353.0,2000,Friends of Bob Livingston PAC,R,J,24Z
2329,15000.0,2000,Friends of Bud Cramer,D,Z,24K
2330,11699.0,2000,Friends of Butler Derrick,D,Z,24K
2331,6500.0,2000,Friends of Carolyn McCarthy,D,Z,24K
2332,1000.0,2000,Friends of Chris Dodd - '98,D,Z,24K
2333,15500.0,2000,Friends of Chris Dodd 2004,D,Z,24K
2334,834.0,2000,Friends of Chris Dodd 2004,D,Z,24Z
2320,2800.0,2000,Friends of Barbara Boxer,D,Z,24Z
2335,50061.0,2000,Friends of Congressman George Miller,D,Z,24K
2303,800.0,2000,Fifth Congressional District Republican Cmte,R,Z,24K
2301,5000.0,2000,Feingold Senate Cmte,D,Z,24K
2408,208000.0,2000,Fund for a Free Market America,R,J,24K
2409,1000.0,2000,Fund for a Free Market America,R,J,24R
2410,102000.0,2000,Fund for a Responsible Future,R,J,24K
2411,12000.0,2000,Fund to Keep America Number One,R,J,24K
2412,260000.0,2000,Future Leaders PAC,R,J,24K
2413,1000.0,2000,Gallegly for Congress,R,Z,24K
2414,200.0,2000,Garrett for Congress 2000,R,Z,24K
2278,4000.0,2000,Earl Pomeroy for Congress,D,Z,24K
2279,9000.0,2000,Ed Bryant for Congress,R,Z,24K
2280,18500.0,2000,Ed Jenkins for Congress,D,Z,24K
2281,10000.0,2000,Ed XL PAC,R,J,24K
2282,12750.0,2000,Eddie Bernice Johnson for Congress,D,Z,24K
2283,487500.0,2000,Effective Government Cmte,D,J,24K
2284,12000.0,2000,Ehlers for Congress Cmte,R,Z,24K
2302,3000.0,2000,Fifth Congressional Dist Democratic Pty,D,Z,24K
2285,14500.0,2000,Ehrlich for Congress Cmte,R,Z,24K
2287,849.0,2000,"Elder, Chester H", ,Y,24E
2288,250.0,2000,Eleanor Gibbs for Congress,R,Z,24K
2289,600.0,2000,Elsie Holland for US Congress,R,Z,24K
2290,2000.0,2000,Empower People PAC,D,J,24K
2291,11000.0,2000,Engel for Congress,D,Z,24K
2292,2000.0,2000,Enzi for Senate,R,Z,24K
2293,12000.0,2000,Eva Clayton Cmte for Congress,D,Z,24K
2294,179500.0,2000,Evergreen Fund,D,J,24K
2295,20220.0,2000,Evergreen Fund,D,J,24Z
2296,30500.0,2000,Ewing for Congress Cmte,R,Z,24K
2297,22500.0,2000,"Faith, Family & Freedom PAC",R,J,24K
2298,38000.0,2000,Fattah for Congress,D,Z,24K
2299,110191.0,2000,Fazio for Congress Cmte,D,Z,24K
2300,200500.0,2000,Federal Victory Fund,R,J,24K
2286,10000.0,2000,Eighth District Democratic Cmte,D,Z,24K
2277,11500.0,2000,Duncan for Congress,R,Z,24K
2336,5250.0,2000,Friends of Congressman Tim Holden,D,Z,24K
2338,2000.0,2000,Friends of Craig Thomas,R,Z,24K
2373,500.0,2000,Friends of Lois Capps,D,Z,24R
2374,500.0,2000,Friends of Major Owens,D,Z,24K
2375,11000.0,2000,Friends of Mark Foley for Congress,R,Z,24K
2376,5250.0,2000,Friends of Matt Salmon,R,Z,24K
2377,5000.0,2000,Friends of Maurice Hinchey,D,Z,24K
2378,1000.0,2000,Friends of Max Cleland for Senate Cmte,D,Z,24K
2379,45.0,2000,Friends of Melinda Katz,D,Z,24K
2380,8000.0,2000,Friends of Mike Forbes for Congress Cmte,D,Z,24K
2415,2000.0,2000,Gary Miller for Congress,R,Z,24K
2416,22000.0,2000,Gekas for Congress,R,Z,24K
2417,1619.0,2000,"Gelfand, Edith", ,Y,24E
2418,23500.0,2000,Gene Green Congressional Campaign,D,Z,24K
2419,851678.0,2000,Georgia Federal Elections Cmte,D,Z,24C
2420,22000.0,2000,Georgia Federal Elections Cmte,D,Z,24K
2372,25500.0,2000,Friends of Lois Capps,D,Z,24K
2421,9000.0,2000,Georgians for Isakson,R,Z,24K
2423,4550.0,2000,Gibbons for Congress,R,Z,24K
2424,1000.0,2000,Gilchrest for Congress,R,Z,24K
2438,13500.0,2000,Great Dane PAC,R,J,24K
2437,2000.0,2000,Grassroots Victory Fund,R,J,24K
2436,1000.0,2000,Grassley Cmte,R,Z,24K
2435,5000.0,2000,Graham for Congress,R,Z,24K
2434,55500.0,2000,Governor Engler Leadership Fund,R,J,24K
2433,1267.0,2000,Gordon Smith for US Senate 2002,R,Z,24Z
2432,1000.0,2000,Gordon Smith for US Senate 2002,R,Z,24K
2431,1100.0,2000,Goode for Congress,I,Z,24K
2430,804.0,2000,Good Government for America,R,J,24Z
2429,98750.0,2000,Good Government for America,R,J,24K
2428,4514.0,2000,Good Government Cmte, ,Y,24E
2427,2315.0,2000,Glacier PAC,D,J,24Z
2422,3000.0,2000,Gerald C Jerry Weller for Congress,R,Z,24K
2337,1000.0,2000,Friends of Connie Mack,R,Z,24K
2371,1000.0,2000,Friends of Jon Porter,R,Z,24K
2369,22000.0,2000,Friends of John Peterson,R,Z,24K
2339,1500.0,2000,Friends of Danny K Davis,D,Z,24K
2340,7000.0,2000,Friends of Dave Weldon,R,Z,24K
2341,1000.0,2000,Friends of Dick Lugar,R,Z,24K
2342,4500.0,2000,Friends of Doc Hastings,R,Z,24K
2343,2000.0,2000,Friends of Don Sherwood,R,Z,24K
2344,204000.0,2000,Friends of Duke Cunningham,R,Z,24K
2345,1760.0,2000,Friends of Ernest Istook,R,Z,24K
2346,100.0,2000,Friends of Errol Flynn,R,Z,24K
2347,5500.0,2000,Friends of Farr,D,Z,24K
2348,54800.0,2000,Friends of Fowler,R,Z,24K
2349,1581.0,2000,Friends of Fowler,R,Z,24Z
2350,1000.0,2000,Friends of Frandsen Campaign,3,Z,24K
2351,27000.0,2000,Friends of Giuliani Exploratory Cmte,R,Z,24K
2352,28100.0,2000,Friends of Houghton,R,Z,24K
2370,1500.0,2000,Friends of John Tanner,D,Z,24K
2353,4500.0,2000,Friends of Howell Heflin Cmte,D,Z,24K
2355,15000.0,2000,Friends of Jennifer B Dunn,R,Z,24K
2356,4300.0,2000,Friends of Jerry Kleczka,D,Z,24K
2357,2000.0,2000,Friends of Jim Abdnor,R,Z,24K
2358,13500.0,2000,Friends of Jim Clyburn,D,Z,24K
2359,1000.0,2000,Friends of Jim Inhofe,R,Z,24K
2360,27800.0,2000,Friends of Jim Oberstar,D,Z,24K
2361,1000.0,2000,Friends of Jim Saxton,R,Z,24K
2362,9000.0,2000,Friends of Joe Baca,D,Z,24K
2363,20000.0,2000,Friends of Joe Pitts,R,Z,24K
2364,2000.0,2000,Friends of John Boehner,R,Z,24K
2365,996.0,2000,Friends of John Boehner,R,Z,24Z
2366,19500.0,2000,Friends of John Conyers,D,Z,24K
2367,1000.0,2000,Friends of John Hostettler,R,Z,24K
2368,6000.0,2000,Friends of John LaFalce,D,Z,24K
2354,23500.0,2000,Friends of Jack Kingston,R,Z,24K
2276,120.0,2000,Duffey for Congress Campaign,3,Z,24K
2275,6000.0,2000,Dreier for Congress Cmte,R,Z,24K
2274,14450.0,2000,Doyle for Congress Cmte,D,Z,24K
1009,0.0,2000,,3,z,24K
1010,0.0,2000,,3,z,24P
1011,0.0,2000,,3,z,24R
1012,0.0,2000,,3,z,24Z
1013,0.0,2000,,R,z,24E
1014,0.0,2000,,R,z,24F
1015,0.0,2000,,R,z,24A
1016,0.0,2000,,R,z,24C
1017,0.0,2000,,R,z,24N
1018,0.0,2000,,R,z,24H
1019,0.0,2000,,R,z,24K
1020,0.0,2000,,R,z,24P
1021,0.0,2000,,R,z,24R
1022,0.0,2000,,R,z,24Z
1008,0.0,2000,,3,z,24H
1023,0.0,2000,,U,z,24E
1025,0.0,2000,,U,z,24A
1026,0.0,2000,,U,z,24C
1027,0.0,2000,,U,z,24N
1028,0.0,2000,,U,z,24H
1029,0.0,2000,,U,z,24K
1030,0.0,2000,,U,z,24P
1031,0.0,2000,,U,z,24R
1032,0.0,2000,,U,z,24Z
6239,0.0,2000,,D,X,24H
6238,0.0,2000,,D,X,24N
6237,0.0,2000,,D,X,24C
6236,0.0,2000,,D,X,24A
6235,0.0,2000,,D,X,24F
6234,0.0,2000,,D,X,24E
1024,0.0,2000,,U,z,24F
6233,0.0,2000,, ,X,24Z
1007,0.0,2000,,3,z,24N
1005,0.0,2000,,3,z,24A
975,0.0,2000,,D,z,24A
976,0.0,2000,,D,z,24C
977,0.0,2000,,D,z,24N
978,0.0,2000,,D,z,24H
979,0.0,2000,,D,z,24K
980,0.0,2000,,D,z,24P
981,0.0,2000,,D,z,24R
982,0.0,2000,,D,z,24Z
983,0.0,2000,,I,z,24E
984,0.0,2000,,I,z,24F
985,0.0,2000,,I,z,24A
986,0.0,2000,,I,z,24C
2425,3600.0,2000,Gilman for Congress,R,Z,24K
988,0.0,2000,,I,z,24H
1006,0.0,2000,,3,z,24C
989,0.0,2000,,I,z,24K
991,0.0,2000,,I,z,24R
992,0.0,2000,,I,z,24Z
993,0.0,2000,,L,z,24E
994,0.0,2000,,L,z,24F
995,0.0,2000,,L,z,24A
996,0.0,2000,,L,z,24C
997,0.0,2000,,L,z,24N
998,0.0,2000,,L,z,24H
999,0.0,2000,,L,z,24K
1000,0.0,2000,,L,z,24P
1001,0.0,2000,,L,z,24R
1002,0.0,2000,,L,z,24Z
1003,0.0,2000,,3,z,24E
1004,0.0,2000,,3,z,24F
990,0.0,2000,,I,z,24P
6232,0.0,2000,, ,X,24R
6231,0.0,2000,, ,X,24P
6230,0.0,2000,, ,X,24K
2244,127157.0,2000,Democratic Senatorial Campaign Cmte,D,Z,24C
2245,66500.0,2000,Democratic Senatorial Campaign Cmte,D,Z,24E
2246,290500.0,2000,Democratic Senatorial Campaign Cmte,D,Z,24K
2247,30.0,2000,Democratic Senatorial Campaign Cmte,D,Z,24Z
2248,1068228.0,2000,Democratic State Central Cmte/California,D,Z,24C
2249,23292.0,2000,Democratic State Central Cmte/California,D,Z,24K
2250,3734.0,2000,Democratic State Central Cmte/California,D,Z,24Z
2251,3020.0,2000,Democratic State Central Cmte/Louisiana,D,Z,24C
2252,3211.0,2000,Democratic State Central Cmte/Louisiana,D,Z,24K
2253,30000.0,2000,Democratic State Central Cmte/Maryland,D,Z,24C
2254,15790.0,2000,Democratic State Central Cmte/Maryland,D,Z,24K
2255,15000.0,2000,Democratic State Central Cmte/Maryland,D,Z,24N
2256,89508.0,2000,Democratic State Cmte of Massachusetts,D,Z,24C
2257,2700.0,2000,Democratic Womens Forum of Orange County,D,Z,24K
2243,66500.0,2000,Democratic Senatorial Campaign Cmte,D,Z,24A
2258,13000.0,2000,Democrats Abroad France,D,Z,24K
2260,7775.0,2000,Dennis Hertel for Congress Cmte,D,Z,24K
2261,4000.0,2000,Diana Degette for Congress,D,Z,24K
2262,500.0,2000,Dickinson Second District Congressional,R,Z,24K
2263,1000.0,2000,Dirk Kempthorne for Senate,R,Z,24K
2264,131000.0,2000,District 20 Florida Federal PAC,D,J,24K
2265,10500.0,2000,Doggett for US Congress Cmte,D,Z,24K
2266,62500.0,2000,Dole for Senate 92,R,Z,24K
2267,47000.0,2000,Dole for Senate Cmte,R,Z,24K
2268,13000.0,2000,Don Payne for Congress,D,Z,24K
2269,17300.0,2000,Donald A Manzullo for Congress,R,Z,24K
2270,1000.0,2000,Donelon for Senate,R,Z,24K
2271,700.0,2000,Donnelley for Congress,R,Z,24K
2272,1000.0,2000,Donnelly Cmte,D,Z,24K
2273,1000.0,2000,Douglas 2000 Exploratory Cmte,R,Z,24K
2259,1000.0,2000,Dennis Dollar for Congress,R,Z,24K
2242,500.0,2000,Democratic Party of the District of Columbia,D,Z,24K
4598,0.0,2000,, ,L,24E
4599,0.0,2000,, ,L,24F
6229,0.0,2000,, ,X,24H
6228,0.0,2000,, ,X,24N
6227,0.0,2000,, ,X,24C
6226,0.0,2000,, ,X,24A
6225,0.0,2000,, ,X,24F
6224,0.0,2000,, ,X,24E
2386,31250.0,2000,Friends of Ron Packard,R,Z,24K
2385,23000.0,2000,Friends of Roger Wicker 2000,R,Z,24K
2384,2000.0,2000,Friends of Robert C Byrd Cmte,D,Z,24K
2383,30000.0,2000,Friends of Ray LaHood,R,Z,24K
2382,3358.0,2000,Friends of Phil Gramm,R,Z,24Z
2381,23000.0,2000,Friends of Patrick J Kennedy,D,Z,24K
2132,10500.0,2000,Committee to Re-Elect Nydia M Velazquez,D,Z,24K
2391,6500.0,2000,Friends of Senator Carl Levin,D,Z,24K
2392,1460.0,2000,Friends of Senator Nickles,R,Z,24K
2393,5090.0,2000,Friends of Senator Nickles,R,Z,24Z
2394,11000.0,2000,Friends of Sessions Senate Cmte,R,Z,24K
4600,0.0,2000,, ,L,24A
2407,12250.0,2000,Fund for a Conservative Future,R,J,24K
2406,9000.0,2000,Fund for Democratic Leadership,D,J,24K
2405,147500.0,2000,Fund for American Opportunity,R,J,24K
2404,13000.0,2000,Fund for All Americans,R,J,24K
2403,11000.0,2000,Friends of the Big Sky,R,J,24K
973,0.0,2000,,D,z,24E
2402,1000.0,2000,Friends of Zach Wamp,R,Z,24Z
2400,16000.0,2000,Friends of Weiner,D,Z,24K
2399,3882.0,2000,Friends of Wade Sanders,D,Z,24K
2398,3500.0,2000,Friends of Tom Byrne,D,Z,24K
2397,1750.0,2000,Friends of Sophie Masloff,D,J,24K
2396,22500.0,2000,Friends of Sherwood Boehlert Cmte,R,Z,24K
2395,7500.0,2000,Friends of Sherrod Brown,D,Z,24K
2401,1000.0,2000,Friends of Zach Wamp,R,Z,24K
2131,905.0,2000,Committee to Re-Elect Loretta Sanchez,D,Z,24Z
2083,5000.0,2000,Citizens for Kasich,R,Z,24K
2129,5000.0,2000,Committee to Re-Elect Ed Towns,D,Z,24K
5038,0.0,2000,,L,B,24C
5037,0.0,2000,,L,B,24A
5036,0.0,2000,,L,B,24F
5035,0.0,2000,,L,B,24E
5034,0.0,2000,,I,B,24Z
5033,0.0,2000,,I,B,24R
5039,0.0,2000,,L,B,24N
5032,0.0,2000,,I,B,24P
5030,0.0,2000,,I,B,24H
5029,0.0,2000,,I,B,24N
5028,0.0,2000,,I,B,24C
5027,0.0,2000,,I,B,24A
5026,0.0,2000,,I,B,24F
5025,0.0,2000,,I,B,24E
5031,0.0,2000,,I,B,24K
5040,0.0,2000,,L,B,24H
5041,0.0,2000,,L,B,24K
5042,0.0,2000,,L,B,24P
5057,0.0,2000,,R,B,24A
5056,0.0,2000,,R,B,24F
5055,0.0,2000,,R,B,24E
5054,0.0,2000,,3,B,24Z
5053,0.0,2000,,3,B,24R
5052,0.0,2000,,3,B,24P
5051,0.0,2000,,3,B,24K
5050,0.0,2000,,3,B,24H
5049,0.0,2000,,3,B,24N
5048,0.0,2000,,3,B,24C
5047,0.0,2000,,3,B,24A
5046,0.0,2000,,3,B,24F
5045,0.0,2000,,3,B,24E
5044,0.0,2000,,L,B,24Z
5043,0.0,2000,,L,B,24R
5024,0.0,2000,,D,B,24Z
5058,0.0,2000,,R,B,24C
5023,0.0,2000,,D,B,24R
5021,0.0,2000,,D,B,24K
194,0.0,2000,,R,A,24N
193,0.0,2000,,R,A,24C
192,0.0,2000,,R,A,24A
191,0.0,2000,,R,A,24F
190,0.0,2000,,R,A,24E
189,0.0,2000,,3,A,24Z
195,0.0,2000,,R,A,24H
188,0.0,2000,,3,A,24R
186,0.0,2000,,3,A,24K
185,0.0,2000,,3,A,24H
184,0.0,2000,,3,A,24N
183,0.0,2000,,3,A,24C
182,0.0,2000,,3,A,24A
181,0.0,2000,,3,A,24F
187,0.0,2000,,3,A,24P
196,0.0,2000,,R,A,24K
197,0.0,2000,,R,A,24P
198,0.0,2000,,R,A,24R
5020,0.0,2000,,D,B,24H
5019,0.0,2000,,D,B,24N
5018,0.0,2000,,D,B,24C
5017,0.0,2000,,D,B,24A
209,0.0,2000,,U,A,24Z
208,0.0,2000,,U,A,24R
207,0.0,2000,,U,A,24P
206,0.0,2000,,U,A,24K
205,0.0,2000,,U,A,24H
204,0.0,2000,,U,A,24N
203,0.0,2000,,U,A,24C
202,0.0,2000,,U,A,24A
201,0.0,2000,,U,A,24F
200,0.0,2000,,U,A,24E
199,0.0,2000,,R,A,24Z
5022,0.0,2000,,D,B,24P
5059,0.0,2000,,R,B,24N
5060,0.0,2000,,R,B,24H
5061,0.0,2000,,R,B,24K
2000,32250.0,2000,Big Tent PAC,R,J,24K
1999,19236.0,2000,Bi-Partisan Cmte for Responsible Govt, ,Y,24E
1998,45500.0,2000,Berman for Congress,D,Z,24K
1997,2500.0,2000,Berkley 2000,D,Z,24K
1996,3500.0,2000,Bereuter for Congress Cmte,R,Z,24K
1995,4258.0,2000,Bentley Re-elect Cmte '92,R,Z,24K
2001,300.0,2000,Bill Goodling for Congress,R,Z,24K
1994,5000.0,2000,Bennett Election Cmte,R,Z,24K
1992,12250.0,2000,Becerra for Congress,D,Z,24K
1991,49886.0,2000,Bayou Leader PAC,R,J,24Z
1990,251491.0,2000,Bayou Leader PAC,R,J,24K
1989,1000.0,2000,Bayne for Congress,R,Z,24K
1988,4350.0,2000,Bateman for Congress Cmte,R,Z,24K
1987,2000.0,2000,Bass Victory 2000 Cmte,R,Z,24K
1993,22500.0,2000,Ben Cardin for Congress,D,Z,24K
2002,45000.0,2000,Bill Thomas Campaign Cmte,R,Z,24K
2003,24000.0,2000,Billy Tauzin Cmte,R,Z,24K
2004,3060.0,2000,Billy Tauzin Cmte,R,Z,24Z
2019,150000.0,2000,Bob Smith for President Cmte,R,Z,24K
2018,1000.0,2000,Bob Schaffer for Congress,R,Z,24K
2017,12000.0,2000,Bob Riley for Congress,R,Z,24K
2016,1800.0,2000,Bob Ney for Congress,R,Z,24K
2015,49000.0,2000,Bob Matsui for Congress Cmte,D,Z,24K
2014,47000.0,2000,Bob Goodlatte for Congress Cmte,R,Z,24K
2013,1000.0,2000,Bob Franks for US Senate,R,Z,24K
2012,10500.0,2000,Bob Filner for Congress,D,Z,24K
2011,11500.0,2000,Bob Etheridge for Congress Cmte,D,Z,24K
2010,3250.0,2000,Bob Clement Cmte,D,Z,24K
2009,7185.0,2000,Bob Brady for Congress,D,Z,24K
2008,1000.0,2000,Bob Barr-Congress,R,Z,24K
2007,2250.0,2000,Blumenauer for Congress,D,Z,24K
