,Amount,Cycle,Destination,Party,RealCode
3041,96350.0,1996,Cand,D,G2810
3040,1850.0,1996,Cand,3,G2810
3463,200.0,1996,Cand,D,H4200
20977,0.0,1996,Cmte,I,G2500
3450,2500.0,1996,Cand,D,H4000
23787,0.0,1996,Cand,U,G1200
23786,0.0,1996,Cmte,U,G1200
3442,110411.0,1996,Cmte,D,H3800
3443,7250.0,1996,Cand,R,H3800
3444,3765.0,1996,Cmte,R,H3800
3445,1000.0,1996,Cand,3,H3900
3446,6750.0,1996,Cand,D,H3900
3447,78500.0,1996,Cmte,D,H3900
3448,2500.0,1996,Cand,R,H3900
3449,7500.0,1996,Cmte,R,H3900
23778,0.0,1996,Cmte, ,G1200
23779,0.0,1996,Cand, ,G1200
23780,0.0,1996,Cmte,I,G1200
23781,0.0,1996,Cand,I,G1200
23782,0.0,1996,Cmte,L,G1200
23783,0.0,1996,Cand,L,G1200
3085,144414.0,1996,Cmte,D,G3500
3084,15700.0,1996,Cand,D,G3500
3083,750.0,1996,Cand,3,G3500
3441,12800.0,1996,Cand,D,H3800
3440,1300.0,1996,Cand,3,H3800
3439,469191.0,1996,Cmte,R,H3700
3438,99750.0,1996,Cand,R,H3700
3090,11200.0,1996,Cand,D,G4000
3089,1000.0,1996,Cmte,3,G4000
3088,450.0,1996,Cand,3,G4000
3087,33158.0,1996,Cmte,R,G3500
21273,0.0,1996,Cand,U,E1630
21272,0.0,1996,Cmte,U,E1630
21271,0.0,1996,Cand,3,E1630
21270,0.0,1996,Cmte,3,E1630
3082,156352.0,1996,Cmte,R,G3000
21269,0.0,1996,Cand,L,E1630
21267,0.0,1996,Cand,I,E1630
21266,0.0,1996,Cmte,I,E1630
21265,0.0,1996,Cand, ,E1630
21264,0.0,1996,Cmte, ,E1630
3086,25750.0,1996,Cand,R,G3500
23711,0.0,1996,Cand,U,C6100
3436,759140.0,1996,Cmte,D,H3700
3437,250.0,1996,Cand,L,H3700
21268,0.0,1996,Cmte,L,E1630
3081,39700.0,1996,Cand,R,G3000
3080,1000.0,1996,Cand,L,G3000
3079,166600.0,1996,Cmte,D,G3000
21138,0.0,1996,Cand,U,A4200
21137,0.0,1996,Cmte,U,A4200
21136,0.0,1996,Cand,L,A4200
21135,0.0,1996,Cmte,L,A4200
21134,0.0,1996,Cand,I,A4200
21133,0.0,1996,Cmte,I,A4200
21132,0.0,1996,Cand, ,A4200
21131,0.0,1996,Cmte, ,A4200
3068,1126454.0,1996,Cmte,D,G2900
3067,151533.0,1996,Cand,D,G2900
3065,15250.0,1996,Cand,3,G2900
3064,471658.0,1996,Cmte,R,G2850
3063,134826.0,1996,Cand,R,G2850
3062,2250.0,1996,Cand,L,G2850
3061,684992.0,1996,Cmte,D,G2850
3060,190216.0,1996,Cand,D,G2850
3059,7800.0,1996,Cand,3,G2850
21056,0.0,1996,Cand,U,g2900
3066,22350.0,1996,Cmte,3,G2900
20902,0.0,1996,Cand,L,Z1200
3069,6300.0,1996,Cand,L,G2900
3071,378775.0,1996,Cand,R,G2900
3078,22500.0,1996,Cand,D,G3000
3077,119886.0,1996,Cmte,R,G2910
21205,0.0,1996,Cand,U,T7200
21204,0.0,1996,Cmte,U,T7200
21203,0.0,1996,Cmte,3,T7200
21202,0.0,1996,Cand,L,T7200
21201,0.0,1996,Cmte,L,T7200
21200,0.0,1996,Cand,I,T7200
3070,962.0,1996,Cmte,L,G2900
21199,0.0,1996,Cmte,I,T7200
21197,0.0,1996,Cmte, ,T7200
3076,22250.0,1996,Cand,R,G2910
3075,102532.0,1996,Cmte,D,G2910
23784,0.0,1996,Cmte,3,G1200
23785,0.0,1996,Cand,3,G1200
3074,11000.0,1996,Cand,D,G2910
3073,1050.0,1996,Cand,3,G2910
3072,1655155.0,1996,Cmte,R,G2900
21198,0.0,1996,Cand, ,T7200
2859,175538.0,1996,Cmte,3,F4100
20901,0.0,1996,Cmte,L,Z1200
20899,0.0,1996,Cmte,I,Z1200
3490,3000.0,1996,Cand,3,H5000
3491,245.0,1996,Cmte,3,H5000
3492,54750.0,1996,Cand,D,H5000
3493,95177.0,1996,Cmte,D,H5000
3494,1000.0,1996,Cand,L,H5000
3000,33750.0,1996,Cmte,D,G2300
2999,6000.0,1996,Cand,D,G2300
2998,250.0,1996,Cand,3,G2300
2997,66795.0,1996,Cmte,R,G2200
2996,36250.0,1996,Cand,R,G2200
2995,5075.0,1996,Cmte,D,G2200
2994,1000.0,1996,Cand,D,G2200
20632,0.0,1996,Cand,U,F5200
20631,0.0,1996,Cmte,U,F5200
20630,0.0,1996,Cmte,3,F5200
20629,0.0,1996,Cand,L,F5200
20628,0.0,1996,Cmte,L,F5200
3489,81345.0,1996,Cmte,R,H4600
3488,11550.0,1996,Cand,R,H4600
3487,250.0,1996,Cand,L,H4600
3486,497000.0,1996,Cmte,D,H4600
20704,0.0,1996,Cmte,L,G1400
20703,0.0,1996,Cand,I,G1400
20702,0.0,1996,Cmte,I,G1400
20701,0.0,1996,Cand,D,G1400
20700,0.0,1996,Cmte,D,G1400
20699,0.0,1996,Cand, ,G1400
20698,0.0,1996,Cmte, ,G1400
3007,6000.0,1996,Cand,R,G2350
20627,0.0,1996,Cand,I,F5200
3006,15850.0,1996,Cmte,D,G2350
3004,1250.0,1996,Cand,3,G2350
3003,173682.0,1996,Cmte,R,G2300
3002,48150.0,1996,Cand,R,G2300
3001,1000.0,1996,Cand,L,G2300
24074,0.0,1996,Cmte,I,X3200
24075,0.0,1996,Cand,I,X3200
24076,0.0,1996,Cmte,U,X3200
24077,0.0,1996,Cand,U,X3200
3005,6750.0,1996,Cand,D,G2350
20705,0.0,1996,Cand,L,G1400
20626,0.0,1996,Cmte,I,F5200
20624,0.0,1996,Cmte, ,F5200
24133,0.0,1996,Cmte,D,c5110
24134,0.0,1996,Cand,D,c5110
24135,0.0,1996,Cmte,I,c5110
24136,0.0,1996,Cand,I,c5110
24137,0.0,1996,Cmte,L,c5110
24138,0.0,1996,Cand,L,c5110
24139,0.0,1996,Cmte,3,c5110
24140,0.0,1996,Cand,3,c5110
24141,0.0,1996,Cmte,R,c5110
20565,0.0,1996,Cmte,I,K1200
20564,0.0,1996,Cand, ,K1200
20563,0.0,1996,Cmte, ,K1200
2984,1750.0,1996,Cand,L,G2100
2983,274326.0,1996,Cmte,D,G2100
2982,47950.0,1996,Cand,D,G2100
2981,2500.0,1996,Cmte,3,G2100
2980,3450.0,1996,Cand,3,G2100
24132,0.0,1996,Cand, ,c5110
24131,0.0,1996,Cmte, ,c5110
20566,0.0,1996,Cand,I,K1200
20567,0.0,1996,Cmte,L,K1200
2993,250.0,1996,Cand,3,G2200
2992,4155.0,1996,Cmte,R,G2110
2991,1000.0,1996,Cand,R,G2110
2990,1400.0,1996,Cmte,D,G2110
2989,1000.0,1996,Cand,D,G2110
2988,2850.0,1996,Cand,3,G2110
2987,1668690.0,1996,Cmte,R,G2100
3495,59070.0,1996,Cand,R,H5000
20625,0.0,1996,Cand, ,F5200
3496,85026.0,1996,Cmte,R,H5000
3498,114564.0,1996,Cmte,3,H5100
3499,532238.0,1996,Cand,D,H5100
2986,153650.0,1996,Cand,R,G2100
2985,1000.0,1996,Cmte,L,G2100
20571,0.0,1996,Cand,U,K1200
20570,0.0,1996,Cmte,U,K1200
20569,0.0,1996,Cand,3,K1200
20568,0.0,1996,Cmte,3,K1200
3497,90465.0,1996,Cand,3,H5100
20706,0.0,1996,Cmte,3,G1400
20707,0.0,1996,Cand,3,G1400
20708,0.0,1996,Cmte,R,G1400
3473,121888.0,1996,Cand,R,H4300
3474,3979978.0,1996,Cmte,R,H4300
3475,16000.0,1996,Cand,D,H4400
3476,210750.0,1996,Cmte,D,H4400
3477,2500.0,1996,Cand,L,H4400
23989,0.0,1996,Cmte, ,C5300
23990,0.0,1996,Cand, ,C5300
23991,0.0,1996,Cand,D,C5300
23992,0.0,1996,Cmte,I,C5300
23993,0.0,1996,Cand,I,C5300
20853,0.0,1996,Cand, ,Y4000
3024,12650.0,1996,Cand,D,G2600
3023,750.0,1996,Cand,3,G2600
3022,612597.0,1996,Cmte,R,G2500
3021,60050.0,1996,Cand,R,G2500
3020,400.0,1996,Cand,L,G2500
20796,0.0,1996,Cand,U,L5000
3472,3000.0,1996,Cmte,L,H4300
3471,1704.0,1996,Cand,L,H4300
3470,1675440.0,1996,Cmte,D,H4300
3469,106275.0,1996,Cand,D,H4300
20898,0.0,1996,Cand, ,Z1200
20897,0.0,1996,Cmte, ,Z1200
3035,177195.0,1996,Cmte,R,G2700
3034,23750.0,1996,Cand,R,G2700
3033,1005.0,1996,Cmte,L,G2700
3032,450.0,1996,Cand,L,G2700
3031,24900.0,1996,Cmte,D,G2700
3030,3200.0,1996,Cand,D,G2700
20795,0.0,1996,Cmte,U,L5000
3029,500.0,1996,Cand,3,G2700
3027,44750.0,1996,Cand,R,G2600
3026,2950.0,1996,Cand,L,G2600
3025,259970.0,1996,Cmte,D,G2600
20857,0.0,1996,Cand,U,Y4000
20856,0.0,1996,Cmte,U,Y4000
20855,0.0,1996,Cand,I,Y4000
20854,0.0,1996,Cmte,I,Y4000
3468,2600.0,1996,Cand,3,H4300
3028,819077.0,1996,Cmte,R,G2600
20794,0.0,1996,Cand,R,L5000
20793,0.0,1996,Cmte,R,L5000
20792,0.0,1996,Cand,3,L5000
23998,0.0,1996,Cand,R,C5300
23999,0.0,1996,Cmte,U,C5300
24000,0.0,1996,Cand,U,C5300
3478,36000.0,1996,Cand,R,H4400
3479,234826.0,1996,Cmte,R,H4400
3480,28500.0,1996,Cand,D,H4500
3481,133900.0,1996,Cmte,D,H4500
3482,13250.0,1996,Cand,R,H4500
3010,1000.0,1996,Cmte,3,G2400
3483,99550.0,1996,Cmte,R,H4500
3485,2800.0,1996,Cand,D,H4600
24072,0.0,1996,Cmte, ,X3200
24073,0.0,1996,Cand, ,X3200
3009,9750.0,1996,Cand,3,G2400
3008,14886.0,1996,Cmte,R,G2350
20711,0.0,1996,Cand,U,G1400
20710,0.0,1996,Cmte,U,G1400
20709,0.0,1996,Cand,R,G1400
3484,2750.0,1996,Cand,3,H4600
20900,0.0,1996,Cand,I,Z1200
3011,36425.0,1996,Cand,D,G2400
3013,2000.0,1996,Cand,L,G2400
20791,0.0,1996,Cmte,3,L5000
20790,0.0,1996,Cand,L,L5000
20789,0.0,1996,Cmte,L,L5000
23994,0.0,1996,Cmte,L,C5300
23995,0.0,1996,Cand,L,C5300
23996,0.0,1996,Cmte,3,C5300
23997,0.0,1996,Cand,3,C5300
20788,0.0,1996,Cand,I,L5000
3012,535580.0,1996,Cmte,D,G2400
20787,0.0,1996,Cmte,I,L5000
20785,0.0,1996,Cand, ,L5000
20784,0.0,1996,Cmte, ,L5000
3019,463826.0,1996,Cmte,D,G2500
3018,15550.0,1996,Cand,D,G2500
3017,1050.0,1996,Cand,3,G2500
3016,597768.0,1996,Cmte,R,G2400
3015,99625.0,1996,Cand,R,G2400
3014,500.0,1996,Cmte,L,G2400
20786,0.0,1996,Cand,D,L5000
2365,500.0,1996,Cmte,L,C1300
16386,0.0,1996,Cand,3,J7000
2363,41950.0,1996,Cand,D,C1300
13009,0.0,1996,Cmte,3,F1410
13008,0.0,1996,Cand,L,F1410
13007,0.0,1996,Cmte,L,F1410
13006,0.0,1996,Cand,I,F1410
13005,0.0,1996,Cmte,I,F1410
13004,0.0,1996,Cand, ,F1410
13003,0.0,1996,Cmte, ,F1410
6950,0.0,1996,Cmte, ,y4000
6951,0.0,1996,Cand, ,y4000
6952,0.0,1996,Cmte,D,y4000
6953,0.0,1996,Cand,D,y4000
6954,0.0,1996,Cmte,I,y4000
6955,0.0,1996,Cand,I,y4000
6956,0.0,1996,Cmte,L,y4000
6957,0.0,1996,Cand,L,y4000
13010,0.0,1996,Cmte,U,F1410
13011,0.0,1996,Cand,U,F1410
6891,0.0,1996,Cand,U,E3000
6890,0.0,1996,Cmte,U,E3000
13123,0.0,1996,Cmte,I,Y3000
13122,0.0,1996,Cand, ,Y3000
13121,0.0,1996,Cmte, ,Y3000
13077,0.0,1996,Cand,U,C1300
13076,0.0,1996,Cmte,U,C1300
13075,0.0,1996,Cand,L,C1300
13074,0.0,1996,Cand,I,C1300
6958,0.0,1996,Cmte,3,y4000
13073,0.0,1996,Cmte,I,C1300
13071,0.0,1996,Cmte, ,C1300
6884,0.0,1996,Cmte, ,E3000
6885,0.0,1996,Cand, ,E3000
6886,0.0,1996,Cmte,I,E3000
6887,0.0,1996,Cand,I,E3000
6888,0.0,1996,Cmte,L,E3000
6889,0.0,1996,Cmte,3,E3000
13072,0.0,1996,Cand, ,C1300
6959,0.0,1996,Cand,3,y4000
6960,0.0,1996,Cmte,R,y4000
6961,0.0,1996,Cand,R,y4000
7042,0.0,1996,Cmte,L,T4100
7043,0.0,1996,Cand,L,T4100
7044,0.0,1996,Cmte,3,T4100
7045,0.0,1996,Cand,3,T4100
7046,0.0,1996,Cmte,U,T4100
7047,0.0,1996,Cand,U,T4100
12837,0.0,1996,Cand,U,LC100
7041,0.0,1996,Cand,I,T4100
12836,0.0,1996,Cmte,U,LC100
12834,0.0,1996,Cmte,R,LC100
12833,0.0,1996,Cand,3,LC100
12832,0.0,1996,Cmte,3,LC100
12831,0.0,1996,Cand,L,LC100
12830,0.0,1996,Cmte,L,LC100
12829,0.0,1996,Cand,I,LC100
12828,0.0,1996,Cmte,I,LC100
12835,0.0,1996,Cand,R,LC100
13124,0.0,1996,Cand,I,Y3000
7040,0.0,1996,Cmte,I,T4100
7038,0.0,1996,Cmte, ,T4100
6962,0.0,1996,Cmte,U,y4000
6963,0.0,1996,Cand,U,y4000
12923,0.0,1996,Cand,U,f5500
12922,0.0,1996,Cmte,U,f5500
12921,0.0,1996,Cand,R,f5500
12920,0.0,1996,Cmte,R,f5500
12919,0.0,1996,Cand,3,f5500
7039,0.0,1996,Cand, ,T4100
12918,0.0,1996,Cmte,3,f5500
12916,0.0,1996,Cmte,L,f5500
12915,0.0,1996,Cand,I,f5500
12914,0.0,1996,Cmte,I,f5500
12913,0.0,1996,Cand,D,f5500
12912,0.0,1996,Cmte,D,f5500
12911,0.0,1996,Cand, ,f5500
12910,0.0,1996,Cmte, ,f5500
12917,0.0,1996,Cand,L,f5500
13125,0.0,1996,Cmte,L,Y3000
13126,0.0,1996,Cmte,U,Y3000
6817,0.0,1996,Cand,U,M9300
6625,0.0,1996,Cand,L,M1600
6626,0.0,1996,Cmte,3,M1600
6627,0.0,1996,Cmte,U,M1600
6628,0.0,1996,Cand,U,M1600
13269,0.0,1996,Cand,U,m8000
13268,0.0,1996,Cmte,U,m8000
13267,0.0,1996,Cand,R,m8000
6624,0.0,1996,Cmte,L,M1600
13266,0.0,1996,Cmte,R,m8000
13264,0.0,1996,Cmte,3,m8000
13263,0.0,1996,Cand,L,m8000
13262,0.0,1996,Cmte,L,m8000
13261,0.0,1996,Cand,I,m8000
6682,0.0,1996,Cmte, ,A1000
6683,0.0,1996,Cand, ,A1000
6684,0.0,1996,Cmte,I,A1000
13265,0.0,1996,Cand,3,m8000
6685,0.0,1996,Cand,I,A1000
6623,0.0,1996,Cand,I,M1600
6621,0.0,1996,Cand, ,M1600
6572,0.0,1996,Cand,U,D3000
13365,0.0,1996,Cand,U,c5120
13364,0.0,1996,Cmte,U,c5120
13363,0.0,1996,Cand,R,c5120
13362,0.0,1996,Cmte,R,c5120
13361,0.0,1996,Cand,3,c5120
13360,0.0,1996,Cmte,3,c5120
6622,0.0,1996,Cmte,I,M1600
13359,0.0,1996,Cand,L,c5120
13357,0.0,1996,Cand,I,c5120
13356,0.0,1996,Cmte,I,c5120
13355,0.0,1996,Cand,D,c5120
13354,0.0,1996,Cmte,D,c5120
13353,0.0,1996,Cand, ,c5120
13352,0.0,1996,Cmte, ,c5120
6620,0.0,1996,Cmte, ,M1600
13358,0.0,1996,Cmte,L,c5120
12827,0.0,1996,Cand,D,LC100
6686,0.0,1996,Cmte,U,A1000
13260,0.0,1996,Cmte,I,m8000
13186,0.0,1996,Cmte,L,M9000
13185,0.0,1996,Cand,I,M9000
13184,0.0,1996,Cmte,I,M9000
13183,0.0,1996,Cand, ,M9000
13182,0.0,1996,Cmte, ,M9000
13127,0.0,1996,Cand,U,Y3000
6807,0.0,1996,Cmte, ,M9300
13187,0.0,1996,Cmte,3,M9000
6808,0.0,1996,Cand, ,M9300
6810,0.0,1996,Cand,I,M9300
6811,0.0,1996,Cmte,L,M9300
6812,0.0,1996,Cand,L,M9300
6813,0.0,1996,Cmte,3,M9300
6814,0.0,1996,Cand,3,M9300
6815,0.0,1996,Cmte,R,M9300
6816,0.0,1996,Cmte,U,M9300
6809,0.0,1996,Cmte,I,M9300
6687,0.0,1996,Cand,U,A1000
13188,0.0,1996,Cand,3,M9000
13190,0.0,1996,Cand,U,M9000
13259,0.0,1996,Cand,D,m8000
13258,0.0,1996,Cmte,D,m8000
13257,0.0,1996,Cand, ,m8000
13256,0.0,1996,Cmte, ,m8000
6732,0.0,1996,Cmte, ,J7200
6733,0.0,1996,Cand, ,J7200
6734,0.0,1996,Cand,D,J7200
13189,0.0,1996,Cmte,U,M9000
6735,0.0,1996,Cmte,I,J7200
6737,0.0,1996,Cmte,L,J7200
6738,0.0,1996,Cand,L,J7200
6739,0.0,1996,Cmte,3,J7200
6740,0.0,1996,Cand,3,J7200
6741,0.0,1996,Cand,R,J7200
6742,0.0,1996,Cmte,U,J7200
6743,0.0,1996,Cand,U,J7200
6736,0.0,1996,Cand,I,J7200
12826,0.0,1996,Cand, ,LC100
12825,0.0,1996,Cmte, ,LC100
7108,0.0,1996,Cmte, ,C4000
7443,0.0,1996,Cmte, ,G2810
7444,0.0,1996,Cand, ,G2810
7445,0.0,1996,Cmte,I,G2810
7446,0.0,1996,Cand,I,G2810
7447,0.0,1996,Cmte,L,G2810
7448,0.0,1996,Cmte,3,G2810
7449,0.0,1996,Cmte,U,G2810
12469,0.0,1996,Cmte, ,F0000
7450,0.0,1996,Cand,U,G2810
12414,0.0,1996,Cmte,U,M6000
12413,0.0,1996,Cand,3,M6000
12412,0.0,1996,Cmte,3,M6000
12411,0.0,1996,Cand,L,M6000
12410,0.0,1996,Cmte,L,M6000
12409,0.0,1996,Cand,I,M6000
12408,0.0,1996,Cmte,I,M6000
12415,0.0,1996,Cand,U,M6000
12407,0.0,1996,Cmte,D,M6000
12470,0.0,1996,Cand, ,F0000
12472,0.0,1996,Cand,I,F0000
7380,0.0,1996,Cmte,D,J1300
7381,0.0,1996,Cand,D,J1300
7382,0.0,1996,Cmte,I,J1300
7383,0.0,1996,Cand,I,J1300
7384,0.0,1996,Cand,L,J1300
7385,0.0,1996,Cmte,U,J1300
7386,0.0,1996,Cand,U,J1300
12471,0.0,1996,Cmte,I,F0000
12521,0.0,1996,Cand,U,C2100
12519,0.0,1996,Cand,I,C2100
12518,0.0,1996,Cmte,I,C2100
12517,0.0,1996,Cand, ,C2100
12516,0.0,1996,Cmte, ,C2100
12475,0.0,1996,Cand,U,F0000
12474,0.0,1996,Cmte,U,F0000
12473,0.0,1996,Cmte,3,F0000
12520,0.0,1996,Cmte,U,C2100
7379,0.0,1996,Cand, ,J1300
12406,0.0,1996,Cand, ,M6000
7515,0.0,1996,Cmte, ,LH100
12336,0.0,1996,Cand, ,C1000
12335,0.0,1996,Cmte, ,C1000
7595,0.0,1996,Cmte, ,T7000
7596,0.0,1996,Cand, ,T7000
7597,0.0,1996,Cmte,I,T7000
7598,0.0,1996,Cand,I,T7000
7599,0.0,1996,Cmte,L,T7000
12337,0.0,1996,Cmte,D,C1000
7600,0.0,1996,Cand,L,T7000
7602,0.0,1996,Cmte,U,T7000
7603,0.0,1996,Cand,U,T7000
12276,0.0,1996,Cand,U,G2200
12275,0.0,1996,Cmte,U,G2200
12274,0.0,1996,Cmte,3,G2200
12273,0.0,1996,Cand,L,G2200
12272,0.0,1996,Cmte,L,G2200
7601,0.0,1996,Cmte,3,T7000
12405,0.0,1996,Cmte, ,M6000
12338,0.0,1996,Cmte,I,C1000
12340,0.0,1996,Cmte,L,C1000
7516,0.0,1996,Cand, ,LH100
7517,0.0,1996,Cand,D,LH100
7518,0.0,1996,Cmte,I,LH100
7519,0.0,1996,Cand,I,LH100
7520,0.0,1996,Cmte,L,LH100
7521,0.0,1996,Cand,L,LH100
7522,0.0,1996,Cmte,3,LH100
12339,0.0,1996,Cand,I,C1000
7523,0.0,1996,Cand,3,LH100
7525,0.0,1996,Cmte,U,LH100
7526,0.0,1996,Cand,U,LH100
12345,0.0,1996,Cand,U,C1000
12344,0.0,1996,Cmte,U,C1000
12343,0.0,1996,Cand,3,C1000
12342,0.0,1996,Cmte,3,C1000
12341,0.0,1996,Cand,L,C1000
7524,0.0,1996,Cmte,R,LH100
6571,0.0,1996,Cmte,U,D3000
7378,0.0,1996,Cmte, ,J1300
12575,0.0,1996,Cand, ,Z9700
7181,0.0,1996,Cmte,3,Lt300
7182,0.0,1996,Cand,3,Lt300
7183,0.0,1996,Cmte,R,Lt300
7184,0.0,1996,Cand,R,Lt300
7185,0.0,1996,Cmte,U,Lt300
7186,0.0,1996,Cand,U,Lt300
12742,0.0,1996,Cand,3,c2300
7180,0.0,1996,Cand,L,Lt300
12741,0.0,1996,Cmte,3,c2300
12739,0.0,1996,Cmte,L,c2300
12738,0.0,1996,Cand,I,c2300
12737,0.0,1996,Cmte,I,c2300
12736,0.0,1996,Cand,D,c2300
12735,0.0,1996,Cmte,D,c2300
12734,0.0,1996,Cand, ,c2300
12733,0.0,1996,Cmte, ,c2300
12740,0.0,1996,Cand,L,c2300
12662,0.0,1996,Cand,U,B1200
7179,0.0,1996,Cmte,L,Lt300
7177,0.0,1996,Cmte,I,Lt300
7109,0.0,1996,Cand, ,C4000
7110,0.0,1996,Cmte,I,C4000
7111,0.0,1996,Cand,I,C4000
7112,0.0,1996,Cand,L,C4000
7113,0.0,1996,Cmte,3,C4000
7114,0.0,1996,Cand,3,C4000
7115,0.0,1996,Cmte,U,C4000
7178,0.0,1996,Cand,I,Lt300
7116,0.0,1996,Cand,U,C4000
12745,0.0,1996,Cmte,U,c2300
12744,0.0,1996,Cand,R,c2300
12743,0.0,1996,Cmte,R,c2300
7173,0.0,1996,Cmte, ,Lt300
7174,0.0,1996,Cand, ,Lt300
7175,0.0,1996,Cmte,D,Lt300
7176,0.0,1996,Cand,D,Lt300
12746,0.0,1996,Cand,U,c2300
12574,0.0,1996,Cmte, ,Z9700
12661,0.0,1996,Cmte,U,B1200
12659,0.0,1996,Cmte,3,B1200
7311,0.0,1996,Cand,3,LT500
7312,0.0,1996,Cand,R,LT500
7313,0.0,1996,Cmte,U,LT500
7314,0.0,1996,Cand,U,LT500
12587,0.0,1996,Cand,U,Z9700
12586,0.0,1996,Cmte,U,Z9700
12585,0.0,1996,Cand,R,Z9700
7310,0.0,1996,Cmte,3,LT500
12584,0.0,1996,Cmte,R,Z9700
12582,0.0,1996,Cmte,3,Z9700
12581,0.0,1996,Cand,L,Z9700
12580,0.0,1996,Cmte,L,Z9700
12579,0.0,1996,Cand,I,Z9700
12578,0.0,1996,Cmte,I,Z9700
12577,0.0,1996,Cand,D,Z9700
12576,0.0,1996,Cmte,D,Z9700
12583,0.0,1996,Cand,3,Z9700
12660,0.0,1996,Cand,3,B1200
7309,0.0,1996,Cand,L,LT500
7307,0.0,1996,Cand,I,LT500
12658,0.0,1996,Cand,L,B1200
7256,0.0,1996,Cmte, ,K1000
7257,0.0,1996,Cand, ,K1000
7258,0.0,1996,Cmte,I,K1000
7259,0.0,1996,Cand,I,K1000
7260,0.0,1996,Cmte,U,K1000
7261,0.0,1996,Cand,U,K1000
7308,0.0,1996,Cmte,L,LT500
12657,0.0,1996,Cmte,L,B1200
12655,0.0,1996,Cmte,I,B1200
12654,0.0,1996,Cand,D,B1200
12653,0.0,1996,Cand, ,B1200
12652,0.0,1996,Cmte, ,B1200
7304,0.0,1996,Cmte, ,LT500
7305,0.0,1996,Cand, ,LT500
7306,0.0,1996,Cmte,I,LT500
12656,0.0,1996,Cand,I,B1200
12271,0.0,1996,Cand,I,G2200
6570,0.0,1996,Cand,I,D3000
6568,0.0,1996,Cand, ,D3000
14234,0.0,1996,Cmte,I,LT100
14233,0.0,1996,Cand, ,LT100
14232,0.0,1996,Cmte, ,LT100
5821,0.0,1996,Cmte, ,C4300
5822,0.0,1996,Cand, ,C4300
5823,0.0,1996,Cmte,I,C4300
5824,0.0,1996,Cand,I,C4300
5825,0.0,1996,Cmte,L,C4300
5826,0.0,1996,Cand,L,C4300
5827,0.0,1996,Cmte,3,C4300
5828,0.0,1996,Cand,3,C4300
5829,0.0,1996,Cmte,U,C4300
5830,0.0,1996,Cand,U,C4300
14164,0.0,1996,Cand,U,D0000
14163,0.0,1996,Cmte,U,D0000
14235,0.0,1996,Cand,I,LT100
14236,0.0,1996,Cmte,L,LT100
14237,0.0,1996,Cand,L,LT100
14238,0.0,1996,Cmte,3,LT100
5734,0.0,1996,Cmte,D,h4400
5735,0.0,1996,Cand,D,h4400
5736,0.0,1996,Cmte,I,h4400
5737,0.0,1996,Cand,I,h4400
5738,0.0,1996,Cmte,L,h4400
5739,0.0,1996,Cand,L,h4400
5740,0.0,1996,Cmte,3,h4400
14162,0.0,1996,Cand,3,D0000
5741,0.0,1996,Cand,3,h4400
5743,0.0,1996,Cand,R,h4400
5744,0.0,1996,Cmte,U,h4400
5745,0.0,1996,Cand,U,h4400
14242,0.0,1996,Cand,U,LT100
14241,0.0,1996,Cmte,U,LT100
14240,0.0,1996,Cand,R,LT100
14239,0.0,1996,Cand,3,LT100
5742,0.0,1996,Cmte,R,h4400
14161,0.0,1996,Cmte,3,D0000
14160,0.0,1996,Cand,L,D0000
14159,0.0,1996,Cmte,L,D0000
5957,0.0,1996,Cmte, ,M1500
5958,0.0,1996,Cand, ,M1500
5959,0.0,1996,Cmte,I,M1500
5960,0.0,1996,Cand,I,M1500
5961,0.0,1996,Cmte,U,M1500
5962,0.0,1996,Cand,U,M1500
14027,0.0,1996,Cand,U,e2000
14101,0.0,1996,Cmte, ,E1000
14026,0.0,1996,Cmte,U,e2000
14024,0.0,1996,Cmte,R,e2000
14023,0.0,1996,Cand,3,e2000
14022,0.0,1996,Cmte,3,e2000
14021,0.0,1996,Cand,L,e2000
14020,0.0,1996,Cmte,L,e2000
14019,0.0,1996,Cand,I,e2000
14018,0.0,1996,Cmte,I,e2000
14025,0.0,1996,Cand,R,e2000
5733,0.0,1996,Cand, ,h4400
14102,0.0,1996,Cand, ,E1000
14104,0.0,1996,Cand,I,E1000
14158,0.0,1996,Cand,I,D0000
14157,0.0,1996,Cmte,I,D0000
14156,0.0,1996,Cand, ,D0000
14155,0.0,1996,Cmte, ,D0000
5887,0.0,1996,Cmte, ,J7700
5888,0.0,1996,Cand, ,J7700
5889,0.0,1996,Cmte,I,J7700
14103,0.0,1996,Cmte,I,E1000
5890,0.0,1996,Cand,I,J7700
5892,0.0,1996,Cand,L,J7700
5893,0.0,1996,Cmte,3,J7700
5894,0.0,1996,Cand,3,J7700
5895,0.0,1996,Cmte,U,J7700
5896,0.0,1996,Cand,U,J7700
14106,0.0,1996,Cand,U,E1000
14105,0.0,1996,Cmte,U,E1000
5891,0.0,1996,Cmte,L,J7700
5732,0.0,1996,Cmte, ,h4400
14316,0.0,1996,Cmte, ,x7000
14317,0.0,1996,Cand, ,x7000
14526,0.0,1996,Cmte,L,Z9000
14525,0.0,1996,Cmte,I,Z9000
14524,0.0,1996,Cand, ,Z9000
14523,0.0,1996,Cmte, ,Z9000
5549,0.0,1996,Cand, ,F7000
5550,0.0,1996,Cmte,I,F7000
5551,0.0,1996,Cand,I,F7000
14527,0.0,1996,Cmte,3,Z9000
